Sale Date,Item Name,Quantity,Price,Coupon Code,Discount Amount,Shipping Discount,Order Shipping,Order Sales Tax,Item Total,Currency,Listing ID,Date Paid,Date Shipped,Ship State,Ship Country,Variations,Order Type,Listings Type,SKU,order_key,buyer_key
01/01/24,Godfathers Are A Blessing | Gift For Godfather | Godfather Picture Frame | Personalized Frame | Baptism Gift |  Gift Godfather,1,24.50,DECEMBER10,5.10,10.75,0,0,24.5,USD,503492874,01/01/2024,01/04/2024,NJ,United States,"Color:24,Personalization:Sophia",online,listing,,o091eb62f7ca8,bf58fec391470
01/01/24,Godmother Gift | Godmother Baptism Gift | Godmothers Are Special Personalized 4x6 Frame | Godmother Confirmation Gift,1,26.50,DECEMBER10,0,0,0,0,26.5,USD,487255188,01/01/2024,01/04/2024,NJ,United States,"Color:As Shown,Bow Color:White,Personalization:Sophia",online,listing,,o091eb62f7ca8,bf58fec391470
01/01/24,Great Aunt Gift | Picture Frame For Aunt | Nana Great Aunt | Only The Best Aunts Get Promoted To Great Aunt,1,26.50,NEWYEAR,3.98,0.00,7.75,0,26.5,USD,644340336,01/01/2024,01/04/2024,TX,United States,"Color:21,Bow Color:no bow,Personalization:Only the best Aunt & Uncle get promoted to Great Aunt & Great Uncle",online,listing,,o6e9ff6bf1e84,b07a70fda99ca
01/01/24,Gift for Grandparents | Personalized Grandparents Gift | Our Greatest Blessings Call Us Gift | 4x6 Picture Frame For Grandparents,1,49.50,NEWYEAR,7.43,6.70,0,0,49.5,USD,259174389,01/01/2024,01/04/2024,TN,United States,"Color:16,Flowers:None,Personalization:&quot;...call me Grandpa&quot;
Dillon, Lyla, Deacon",online,listing,,o7b8e5a73635f,bf17b14946bb5
01/01/24,Gift for Godfather | Godfather Picture Frame | Personalized Frame Baptism Gift | Godfathers Are A Blessing | Fathers Day Gift for Godfather,1,24.50,NEWYEAR,3.68,0.00,7.75,0,24.5,USD,523465293,01/01/2024,01/04/2024,NY,United States,"Color:24,Personalization:Change wording:

On top: 1st line (bigger) “A Godfather 
On top: 2nd line (smaller) “is special because he is chosen.”

On bottom: “Blessed to have your guidance and love.”

2nd line: Love, Liam Sarafino
3rd line (smaller) 1/13/2023",online,listing,,oa6e4cb6f8273,b37ed5d4ab9d3
01/01/24,Grandpa Personalized Christmas Gift | Christmas Gift Grandpa | I Love My Grandpa | Grandpa Personalized Gift | 4x6 Picture Frame Custom,1,24.50,DECEMBER10,2.45,0.00,7.75,0,24.5,USD,723490021,01/01/2024,01/04/2024,WA,United States,"Color:22,Personalization:Top: please replace GRANDPA’S with POPPI’S
Bottom: RHETT JOHN",online,listing,,od39ae5261484,bf7b37c8f6ded
01/01/25,Word of the Year 2025 New Year Goals Custom Text Personalized Message Custom Quote Personalized Rearview Mirror Ornament Inspirational Gift,1,12.77,DECE2024,3.19,0.00,4.5,0,12.77,USD,1849193219,01/01/2025,01/03/2025,IL,United States,"background color:gray,Personalization:Optimism",online,listing,,o1776404be5e1,bb8401a75721c
01/01/25,Word of the Year 2025 New Year Goals Custom Text Personalized Message Custom Quote Personalized Rearview Mirror Ornament Inspirational Gift,1,12.77,DECE2024,3.19,0.00,4.5,0,12.77,USD,1849193219,01/01/2025,01/03/2025,CO,United States,"background color:off white barnwood,Personalization:Flourish, 2025",online,listing,,o3b10105d3f6f,ba30b0489d28f
01/01/25,Gifts For Uncle  Christmas Gift For Uncle Personalized Picture Frame  Christmas Gift For Uncle  Personalized Gift From Niece Nephew,1,31.76,DECE2024,7.94,0.00,5.99,0,31.76,USD,1525901435,01/01/2025,01/03/2025,PA,United States,"Color:23,Personalization:I Love My Uncle Brett
(Heart symbol) Ella

If possible can you send me a proof before making it?

Thanks!",online,listing,,o7402ae2fac25,b78d09da4eb57
01/01/25,Word of the Year 2025 New Year Goals Custom Text Personalized Message Custom Quote Personalized Rearview Mirror Ornament Inspirational Gift,1,12.77,DECE2024,3.19,0.00,4.5,0,12.77,USD,1849193219,01/01/2025,01/03/2025,MI,United States,"background color:gray,Personalization:GOD is able to make all grace abound toward you; that you having all sufficiency in all things, may abound in every good work.   2Cor 9:8",online,listing,,ocee6daa03feb,ba553f7e7adcb
01/01/26,Godfather Gift Uncle Gift Gift For Godfather Godfather Picture Frame Personalized Frame Uncle Promoted to Godfather,1,31.95,EAHIONEAT,7.99,0.00,6.55,0,31.95,USD,782459715,01/01/2026,01/05/2026,NJ,United States,"Color:24,Personalization:Colton",online,listing,4080603067_24_0AFEE,o28699d4e3add,be22578bf7b6e
01/02/24,Abuela Gift Christmas Abuela Gift | Mimi Frame | Gift for Grandma | Personalized Picture Frame Abuela Personalized Gift,1,24.50,NEWYEAR,3.68,0.00,7.75,0,24.5,USD,1249680773,01/02/2024,01/04/2024,TX,United States,"Color:21,Personalization:Replace wording with 

Te Amo Abuelita y Abuelito 

All in capital letters like the picture. 

Replace baby&#39;s name with 

Ethan Elian 

Please leave black heart on there and also baby&#39;s name all in capital letters.",online,listing,,o0443cb0b5d9b,be725b4f33680
01/02/24,Grandma Christmas Grandma Gift | Grandma Personalized Picture Frame | Grandma Personalized Gift| Grandma Nanny Grammie Mimi Grammy Memaw,1,24.50,NEWYEAR,3.68,0.00,7.75,0,24.5,USD,506405987,01/02/2024,01/04/2024,CA,United States,"Personalization:Halmoni’s favorite girl

🤍 Chloe",online,listing,,o148aabbee1f4,b6c42a4f22dec
01/02/24,Will You Be My Godmother? | Godmother Proposal Gift | I Love My Godmother | Godmother Gift,1,26.50,NEWYEAR,3.98,0.00,7.75,0,26.5,USD,506350688,01/02/2024,01/04/2024,NJ,United States,"Color:41,bow color:white,Personalization:Wording is good as is, but please make the name after the heart say “Mia Anne”",online,listing,,o3a8b2bc7e218,ba925177d98f3
01/02/24,Mimi Gift Grandma Gift Mother's Day | Mimi Frame | Gift for Grandma | Mimi Gift | Personalized Picture Frame Grandma Personalized Gift,1,24.50,NEWYEAR,3.68,0.00,7.75,0,24.5,USD,795301379,01/02/2024,01/04/2024,RI,United States,"Color:17,Personalization:Julian James",online,listing,,o477ae9786abb,b52d97cef426a
01/02/24,Christmas Gift For Godmother | Godmothers Are A Blessing | Gift For Godmother | Godmother Picture Frame | Personalized Frame | Baptism Gift,1,24.50,NEWYEAR,3.68,0.00,7.75,0,24.5,USD,734321721,01/02/2024,01/04/2024,NY,United States,Color:15,online,listing,,o9ed316bf369a,
01/02/24,Godfather Gift | Uncle Gift | Gift For Godfather | Godfather Picture Frame | Personalized Frame | Uncle Promoted to Godfather,1,24.50,NEWYEAR,3.68,0.00,7.75,0,24.5,USD,782459715,01/02/2024,01/04/2024,NC,United States,"Color:22,Personalization:Only the best uncles get promoted to godfather love, Tyger",online,listing,,obd3a7038c144,be911dbd00215
